 Procedimentos hospitalares do SUS - por local de internação - Brasil
Internações por Unidade da Federação e Ano/mês processamento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";47;328;734;871;767;2747
"12 Acre";2;27;224;296;-;549
"13 Amazonas";202;1845;2958;1871;923;7799
"14 Roraima";2;252;497;283;158;1192
"15 Pará";110;2141;4645;2922;2969;12787
"16 Amapá";17;241;374;517;341;1490
"17 Tocantins";6;79;182;469;640;1376
"21 Maranhão";96;2490;3955;2993;2138;11672
"22 Piauí";29;290;823;1658;2040;4840
"23 Ceará";255;2341;4894;3911;3635;15036
"24 Rio Grande do Norte";29;309;969;1208;908;3423
"25 Paraíba";37;232;824;1597;899;3589
"26 Pernambuco";414;3425;4667;5566;3999;18071
"27 Alagoas";1;111;680;1032;1509;3333
"28 Sergipe";-;56;227;605;842;1730
"29 Bahia";119;829;2066;3189;3097;9300
"31 Minas Gerais";96;578;1887;4987;5999;13547
"32 Espírito Santo";25;664;1284;2136;1669;5778
"33 Rio de Janeiro";850;4538;5425;5560;4355;20728
"35 São Paulo";1405;9958;14910;22805;17406;66484
"41 Paraná";139;389;1108;2651;3706;7993
"42 Santa Catarina";62;334;562;1782;2529;5269
"43 Rio Grande do Sul";120;788;1229;2879;3844;8860
"50 Mato Grosso do Sul";4;18;96;261;624;1003
"51 Mato Grosso";7;58;478;1496;1740;3779
"52 Goiás";7;104;828;1939;2970;5848
"53 Distrito Federal";45;390;1095;1721;2124;5375
"Total";4126;32815;57621;77205;71831;243598
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
