 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês processamento
Procedimento: 0303010010 TRATAMENTO DE DENGUE CLÁSSICA
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";45544,80;73657,22;55477,99;53179,78;29600,37;10190,58;12121,60;6228,80;6041,58;1376,00;8800,80;12499,02;39975,32;77096,80;93814,38;114793,96;97816,49;58594,01;41614,98;37196,27;32300,15;58773,83;134534,71;257342,22;395647,70;390953,60;197145,97;137764,00;68913,84;37949,74;26731,83;20205,59;18898,74;25815,62;52353,73;106057,14;110109,36;96432,88;102465,34;91054,65;48443,28;29161,03;19924,22;30700,21;22289,28;24136,76;23999,01;40512,77;50020,91;55153,23;56880,39;53349,32;44189,55;29779,48;29408,93;18650,28;17309,74;14745,42;23581,56;48623,73;116605,54;161025,70;144057,05;127573,74;75280,21;53606,98;32324,29;27486,77;20091,70;23349,44;37128,79;51035,92;46108,10;58340,94;48510,05;55614,98;38438,26;26245,93;20756,42;26644,12;14176,50;15784,13;23549,00;28240,96;30562,52;37113,70;43702,81;42113,43;45908,64;33483,03;16934,54;15566,09;17991,31;16315,78;15562,40;25037,52;60908,30;85694,83;84284,19;61499,66;35655,47;17386,04;12024,86;8325,18;9114,37;7641,76;12777,58;27305,04;28709,55;28829,94;26752,31;25489,80;12917,23;8756,45;6874,86;7210,00;7274,00;4060,63;7343,95;8279,40;11982,94;11756,47;18401,30;16385,31;12657,58;6809,43;6418,72;2893,60;4542,24;7144,60;4584,29;3960,78;8056,47;6788,43;9750,03;8655,70;9969,01;9788,07;13741,77;9646,03;8142,14;8017,42;9195,21;17717,14;28127,66;33938,06;34595,78;18370,55;9102,91;9586,02;8769,82;3025,21;6497833,87
"12 Acre";1484,22;4104,61;2092,80;4221,82;4270,16;1934,71;5647,05;4156,11;1744,56;2014,15;1755,22;2280,61;11086,19;25576,41;30277,05;64488,97;31170,82;20098,04;14753,76;6202,60;-;7240,36;5264,29;12366,39;26330,52;38170,24;61855,38;34105,63;20282,48;22343,38;3715,87;6001,99;3606,62;8664,70;9669,70;19992,31;32711,45;43982,64;35107,26;20478,39;10570,85;3782,04;4534,90;1712,72;1840,57;1438,80;2103,86;6659,34;6771,07;7633,76;9158,48;6191,16;4323,12;3886,72;3772,88;1494,80;1470,80;5700,98;7112,58;5405,96;7832,24;16824,27;8617,64;14103,72;5716,72;3613,12;3697,42;6422,88;1782,56;967,40;1207,04;1790,56;6254,01;4848,90;7466,12;10121,01;13117,20;3357,36;7953,52;4423,27;7881,96;17533,50;53988,22;25411,97;34210,24;31337,63;17307,85;13860,72;12076,00;12637,51;9054,51;3052,75;12230,12;3819,46;2822,16;1167,04;2158,32;6683,80;5406,80;6271,02;4492,08;2142,32;1287,04;303,76;1658,38;1478,80;1239,82;2071,04;1886,56;1364,52;4069,64;2110,32;3062,07;2685,84;311,76;2193,86;295,76;1396,38;2242,71;3830,00;3733,12;3865,99;3293,36;5228,99;3337,76;3658,60;2755,58;2088,88;1791,90;8400,97;7357,63;10497,00;12271,67;9808,12;14075,04;2390,08;6762,60;5258,59;6376,32;2783,38;3470,80;4066,83;11400,22;15033,13;10753,60;17684,78;8385,68;8557,57;5211,92;1294,96;2094,32;-;1399655,44
"13 Amazonas";12043,45;61925,24;62922,04;51633,70;29225,39;20927,20;9315,45;4884,74;1661,91;1754,82;1517,51;4725,76;6533,80;7423,54;12518,79;8793,36;12842,00;5688,67;11196,68;2251,12;7365,91;2396,03;2155,06;2888,63;2569,22;1830,56;6940,56;7422,53;16505,84;16722,04;21456,52;19818,91;20443,56;22996,36;20792,54;35485,58;56972,84;122120,61;221199,09;163177,28;69514,42;21723,11;14080,58;5850,40;5506,16;2628,27;4495,51;5034,05;6242,18;11049,90;12396,89;6032,08;3937,68;2642,64;5249,49;6568,32;6223,02;2800,22;7551,87;7213,35;16630,21;32516,56;27183,34;23725,53;24677,75;14074,60;7718,51;6506,31;4556,40;3818,72;3628,32;3046,92;5656,45;5636,50;11728,00;10727,63;10408,41;3460,68;4772,39;1259,75;2145,52;1698,55;5845,76;3157,87;4946,89;8562,67;11433,11;8823,07;10405,63;9302,30;8298,87;4849,51;5212,63;8645,02;6311,38;5036,78;9175,43;15718,69;13063,77;12765,80;10221,24;6372,16;5137,87;2150,32;3689,86;2838,08;2126,32;3121,89;4861,70;6618,95;4863,42;7691,64;4853,64;5252,04;1228,99;1651,91;295,76;599,52;1207,04;1306,70;1034,36;623,52;591,52;1601,49;1518,80;4351,04;2734,67;1340,99;943,28;619,78;591,52;1605,10;1924,05;1726,56;2523,00;2823,26;1638,68;3789,71;1677,08;950,23;295,76;1814,56;3333,36;10709,55;14628,27;15729,59;12199,42;6797,74;4183,99;7010,77;4952,06;6543,99;1883813,96
"14 Roraima";784,80;2704,05;6678,16;14773,30;19308,61;26967,92;34035,15;39316,81;35410,68;46807,17;19880,63;23336,84;23261,50;35313,63;41930,07;24741,70;34988,86;14507,44;15736,92;18180,59;25589,38;17156,18;13282,05;11311,72;9633,02;17914,32;44208,49;52334,17;50481,66;71983,70;65960,38;29912,64;27707,95;24545,47;10097,58;7959,78;10804,10;7373,16;6018,86;7234,72;3265,11;6709,04;6421,94;7189,26;9637,15;6925,41;4252,41;4367,63;3515,49;8715,18;6535,33;9756,65;12406,21;17987,42;10746,97;13979,41;8318,33;5970,99;6857,50;1876,31;2454,95;3071,98;1069,50;1295,16;2848,19;2816,15;2606,68;2519,22;1419,66;1273,32;1899,24;1582,92;1702,08;1145,93;2467,36;2016,37;287,76;2306,21;1640,22;575,52;6158,89;2906,40;3927,59;1841,70;1134,86;1766,10;1611,72;1550,31;1664,85;2585,53;3390,64;5928,06;5926,64;7468,27;6254,90;3151,24;3752,32;1438,80;1902,44;1435,27;1016,76;1095,87;797,78;1757,73;748,20;3693,01;1682,74;1742,33;311,76;2546,81;2665,13;3678,97;2125,52;3115,17;2892,09;438,84;402,90;400,44;374,10;-;438,84;1081,13;-;711,64;-;-;-;1416,29;850,97;-;1095,93;757,80;668,26;1235,55;4898,67;2923,65;420,87;607,52;1086,99;1926,07;1704,05;5620,79;7965,68;10384,80;7499,18;6930,35;4622,00;1633,15;287,76;550,05;-;825,55;1348032,54
"15 Pará";239113,40;281091,77;323216,37;366731,47;306599,95;222452,92;137009,47;72938,43;57636,52;55983,10;70627,45;106299,01;119484,64;168947,60;219522,15;219771,25;158014,08;156368,17;129185,09;74030,46;41009,70;38749,07;39516,50;51010,97;84442,96;93539,50;164358,47;189971,24;199150,20;167694,26;142733,39;158550,62;197857,09;176311,55;200795,88;280754,22;336319,31;429838,82;410855,24;355333,48;222213,81;170911,61;116762,69;81490,94;81302,89;86009,25;86646,18;135693,92;168062,81;221357,73;211858,43;198265,33;184499,46;159332,77;121436,28;79191,53;106153,09;87800,81;84239,20;78580,82;128905,33;192322,80;227822,11;195227,84;146906,16;79993,29;64099,25;42477,84;34792,50;36824,48;27854,39;36819,11;42119,84;58063,04;78429,81;73678,50;93677,04;52308,42;43501,30;29892,82;28071,73;27758,39;29548,86;33834,51;32294,11;52110,48;87630,45;83976,20;82551,85;60097,49;45062,38;41295,88;49183,12;39216,76;51438,44;59029,26;76102,28;119235,99;148337,31;129807,65;116740,92;83877,89;51057,84;50751,78;35238,28;31395,22;26482,40;41282,27;91881,02;142187,71;121636,75;83373,70;62352,63;39711,77;23440,74;23965,44;22011,07;14470,79;11053,27;14334,73;18985,00;22489,00;31710,21;36701,08;31750,70;23480,12;12749,30;14140,04;11390,88;15817,53;12508,39;16556,65;22424,01;37454,56;39990,91;47373,65;50784,65;27339,96;19202,23;29758,87;16650,56;19733,37;18357,66;9842,50;28023,24;43238,76;45353,39;26739,80;13732,56;4482,35;8396,83;3093,60;14735422,91
"16 Amapá";2756,10;5079,95;3875,99;11245,15;4683,83;4238,64;3527,08;5410,58;8394,71;5200,78;3296,75;4557,27;1407,89;7824,11;6989,00;10594,58;8211,40;11715,94;1887,95;2959,72;3144,33;2365,80;2002,94;895,28;1107,90;1878,50;8591,60;2185,38;3566,59;5037,00;6743,31;12664,72;5280,99;4748,96;6803,04;8124,33;10060,92;14576,90;9707,27;13016,84;8996,44;4162,80;6387,18;2607,25;4164,26;1641,46;3246,32;24080,10;1188,99;3768,80;863,28;3450,42;3885,34;1886,50;2413,24;4780,21;8056,24;8598,21;9615,70;3361,15;4511,31;2523,97;4192,77;4216,12;3774,58;3204,92;1362,04;1279,39;1751,49;1834,92;635,70;1854,78;1438,80;575,51;1766,68;3499,19;4979,02;4956,92;7572,01;2062,31;2506,79;3654,32;1895,24;575,52;2181,71;5202,39;14020,71;9197,93;6004,13;10713,88;5970,99;4647,69;2650,02;2077,27;2497,10;1153,01;2386,96;1151,04;1474,70;2438,08;881,96;-;520,93;1893,21;631,72;3349,36;1462,80;-;1233,89;1267,75;2742,57;1211,22;575,52;1769,74;-;-;575,52;295,76;-;287,76;287,76;287,76;1827,27;3353,46;2002,61;575,52;-;287,75;1151,04;1383,00;1467,41;759,76;1001,94;287,76;622,22;-;1062,10;648,25;436,43;287,76;-;1215,04;663,52;295,76;623,52;-;829,47;311,76;287,76;349,70;-;-;524911,86
"17 Tocantins";33809,86;59311,31;62219,45;67503,48;76317,00;31741,46;17401,91;5618,62;4835,52;2135,33;2402,40;6215,02;17537,60;29368,00;39730,67;26055,26;37637,04;35815,85;22502,01;18532,70;6118,49;11608,61;9090,76;23447,17;39015,91;48486,18;48300,54;54710,08;63252,66;38968,70;23143,53;11938,43;4884,12;4170,59;17611,05;23461,00;34378,27;25556,55;35738,10;33723,65;38955,84;38182,04;26614,53;17249,49;10986,02;14956,38;23716,86;19136,10;28962,59;38880,62;49098,52;48490,43;53982,53;30165,66;14805,49;10475,62;7996,45;6249,31;9204,46;14052,72;30980,15;54692,59;46811,02;44705,12;41209,38;28401,56;12228,23;6882,60;4602,31;7371,34;13207,61;23377,14;41995,35;37957,22;40888,37;33286,24;21099,15;16466,34;14996,80;5941,61;4296,54;2446,08;8557,22;9494,27;6198,92;10442,22;25996,43;23828,21;13194,60;16352,87;13896,31;6617,02;3915,03;4388,17;5099,46;8957,11;22943,21;27505,64;22709,72;15930,98;10327,60;9747,53;5349,24;2637,84;2674,71;1742,56;1534,80;3213,36;10735,56;26670,35;14212,48;13324,45;13339,12;9255,24;5555,44;2854,12;2212,27;871,28;1565,55;887,28;3687,35;4203,93;5441,83;4730,37;8616,28;3587,01;1593,20;1880,96;901,23;2386,75;2343,45;4836,76;22169,10;36213,18;23847,92;30864,15;20561,22;31691,35;9799,64;6334,81;4765,53;3184,80;962,05;1843,86;5800,30;7910,09;3740,17;3703,97;4577,32;3258,36;3375,36;344,45;2844194,21
"21 Maranhão";45824,59;55553,78;92379,92;158886,72;163955,98;109349,77;71405,09;34752,85;26769,54;12488,24;16992,44;18023,50;29220,10;54190,45;71035,40;87908,58;116990,37;107405,31;56820,60;28299,17;22355,37;19256,96;17929,36;23005,77;34781,43;45528,10;69112,89;104644,08;94682,29;94380,76;81880,55;80090,06;92338,69;89335,90;86057,35;104957,76;121143,85;157937,92;194700,14;218689,07;199349,26;171458,42;157374,39;118120,06;84178,02;83036,75;91754,89;117382,01;139230,87;147539,86;168412,60;170520,98;163903,39;137799,52;87122,38;55906,48;49572,86;34825,87;42724,15;32985,12;45327,76;81688,25;84163,51;107319,85;100535,05;107925,95;78522,71;70807,54;48208,31;42209,81;38710,51;36296,87;47363,61;51390,07;70837,39;100933,12;118219,91;111371,19;76885,83;56390,98;48041,28;47785,96;33483,22;41927,89;58281,32;74851,72;175682,12;216911,50;199215,10;126092,29;88679,26;60043,43;50805,41;35812,16;28861,69;40648,92;60236,43;124063,38;259999,66;322972,62;262667,71;205276,46;113262,04;62561,80;64029,36;39408,56;39224,71;32453,60;57943,99;74857,14;123887,11;89884,66;96675,83;91121,37;46613,15;30263,52;29568,24;12287,00;21567,84;18007,55;22438,96;17649,84;16369,01;24025,66;30039,39;19353,91;12006,97;9232,56;6906,48;4729,37;6474,72;10784,32;17801,60;34809,87;56679,66;106398,76;125830,20;102137,63;62264,59;37710,93;30081,26;17844,61;11111,08;11542,64;20565,97;41723,29;39811,33;16144,09;15175,53;15538,12;9264,80;-;11397770,95
"22 Piauí";17389,60;27589,71;61096,30;117635,43;84772,57;51398,37;28335,82;16122,74;12884,98;4063,00;7111,20;11458,74;20658,86;33682,65;48462,55;77207,01;92551,88;115462,04;73878,90;54745,14;40015,33;29217,04;29021,95;21608,44;49748,97;68780,00;86005,37;112543,91;161188,43;133830,33;134353,28;69761,78;49587,84;54224,71;25687,20;30676,84;49272,70;78400,75;91476,72;153633,89;125180,40;106928,78;75099,83;40773,20;41464,57;21635,90;27008,33;36645,29;38934,65;65001,41;54601,07;91335,82;142516,13;111329,94;72739,50;51959,42;20919,65;13450,91;16046,70;18107,31;25043,15;42793,44;59955,53;64013,26;54745,13;60403,52;49528,68;29667,76;18205,02;10269,55;11902,16;10649,21;19468,60;18868,70;18356,01;34990,09;62908,70;70813,01;68069,10;56382,04;25213,42;26174,30;13368,86;10935,32;14521,52;22331,30;38825,18;81050,73;79772,96;37199,43;26674,44;23433,17;8549,10;7829,86;7050,24;6769,43;10211,60;21608,73;25441,33;31297,66;41054,41;32964,61;25435,26;19811,63;7123,29;10077,69;3096,31;4200,54;4842,11;9611,72;8720,80;12636,76;26118,47;24336,48;34658,70;33052,51;9631,05;5025,87;4908,31;5595,44;2062,32;2949,60;4148,64;7621,76;11556,59;12990,88;10461,55;5333,63;7210,14;4758,04;3493,12;863,28;5695,54;8526,99;8599,19;24375,60;63220,10;56171,83;35442,67;16492,06;8733,89;3634,56;4351,27;1824,51;2877,60;2988,61;4664,16;4480,69;4420,40;4923,92;2350,28;4291,00;5566929,40
"23 Ceará";79697,46;160453,78;283786,64;513330,65;530079,83;381911,21;208139,10;89336,09;48080,94;29386,81;33572,68;32331,94;35117,00;67978,35;102942,44;79279,31;77974,33;73404,62;58610,67;38000,28;17535,99;16632,58;26928,91;43271,65;43940,36;82718,73;140397,70;141611,22;129833,36;159392,28;156004,33;142866,66;133886,79;116388,17;147362,90;214750,81;292611,63;339797,54;449277,62;534736,97;393141,62;280356,24;164061,49;105069,81;62478,26;61343,36;47159,45;58327,19;64734,78;94091,37;105098,26;200936,65;268085,71;192746,40;91787,93;70136,62;33202,76;32038,02;32769,40;39321,71;49155,98;55181,27;66286,88;96036,25;122253,83;151620,56;130526,48;122885,28;89902,32;68058,35;39372,90;31595,38;42907,77;49369,98;51762,67;89218,81;139680,76;145493,05;142659,28;109200,13;70900,20;67211,51;47067,46;42901,14;52303,82;85805,80;172481,89;233261,03;343843,78;383545,00;255738,13;177636,42;120128,03;67789,10;39625,57;39769,72;42571,52;57002,00;82347,11;138717,88;186889,44;192402,26;110912,43;64414,57;37922,54;30025,05;25310,27;25789,54;37929,69;40186,05;58272,94;100794,71;109621,97;76808,66;48075,99;43591,94;30038,40;16732,28;9980,54;14876,38;15200,30;14458,47;15471,76;25984,45;21861,99;19974,74;17001,62;24376,62;12504,89;12243,33;12803,86;8111,83;11896,36;18495,13;26691,53;50628,60;82451,08;85287,64;67794,59;71960,21;44123,87;29112,95;18290,32;17192,66;20364,57;34919,18;71752,57;82773,19;56812,81;74790,06;73612,73;43120,52;15406702,48
