 Procedimentos hospitalares do SUS - por local de internação - Brasil
Óbitos por Unidade da Federação e Ano atendimento
Período:Jan/2008-Ago/2020
"Unidade da Federação";"1998";"1999";"2000";"2001";"2002";"2004";"2005";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"Total"
"11 Rondônia";-;-;-;-;-;-;-;63;1012;1415;2073;2153;2419;2681;3043;3150;3587;3514;3503;3381;2331;34325
"12 Acre";-;-;-;-;-;-;-;115;1117;1041;1359;1520;1337;1190;1276;1452;1470;1416;1531;1570;947;17341
"13 Amazonas";-;-;-;-;-;-;-;354;3042;3185;3353;3843;3887;3598;3174;4324;5040;5423;5883;6345;6016;57467
"14 Roraima";-;-;-;-;-;-;-;21;393;569;745;708;652;645;697;773;957;1170;1301;1419;1134;11184
"15 Pará";-;-;-;-;-;-;-;709;7546;8648;9114;9327;9469;9956;10298;10778;11302;11674;11599;11405;9449;131274
"16 Amapá";-;-;-;-;-;-;-;120;698;846;878;883;960;1003;933;977;878;878;1049;1095;991;12189
"17 Tocantins";-;-;-;-;-;-;-;196;2386;2425;2591;2621;2678;2705;2872;2441;2584;2580;2377;2859;1665;32980
"21 Maranhão";-;-;-;-;-;-;-;486;3897;4603;5300;5992;6998;8235;8942;9657;9889;10264;10713;11128;9124;105228
"22 Piauí";-;-;-;-;-;-;-;419;3872;4268;4117;5050;5348;5775;5946;6349;6582;6245;6219;6711;3967;70868
"23 Ceará";-;-;-;-;-;-;-;938;13596;14481;14323;14655;14207;14892;15875;17326;17899;18883;19390;20378;13885;210728
"24 Rio Grande do Norte";-;-;-;-;-;-;-;313;4141;4636;5074;5727;5674;5631;5702;6070;6257;6427;6696;7042;4511;73901
"25 Paraíba";-;-;-;-;-;-;-;481;6373;8029;7986;7690;7847;8173;7928;7547;8531;8573;8826;9335;5881;103200
"26 Pernambuco";-;-;-;-;-;-;-;1453;16196;17412;17203;18221;18750;20793;21733;23469;25209;24065;23922;25071;18028;271525
"27 Alagoas";-;-;-;-;-;-;-;260;3456;4587;5024;5908;5883;6284;6057;6822;7128;7066;6468;6573;4241;75757
"28 Sergipe";-;-;-;-;-;-;-;201;2326;2818;3106;3408;3103;3277;3120;4417;4785;4653;4806;5055;2556;47631
"29 Bahia";-;-;-;-;-;-;-;854;19473;20983;22426;24493;25492;25918;26896;29052;29175;29470;29586;31832;19858;335508
"31 Minas Gerais";-;-;-;-;-;-;-;3846;44825;46611;48777;48888;50295;51278;52034;53666;54625;56557;56966;59243;34852;662463
"32 Espírito Santo";-;-;-;-;-;-;-;510;5705;6149;6787;7243;7019;7239;7484;8549;8981;9258;9031;9330;6658;99943
"33 Rio de Janeiro";-;-;-;-;-;-;-;2007;29634;31435;36827;37173;37317;38871;39964;44121;43223;43877;47799;49776;33666;515690
"35 São Paulo";2;2;1;1;1;1;1;6679;102844;105225;111090;110656;111743;112820;115525;118265;122551;121790;123674;127123;88781;1478775
"41 Paraná";-;-;-;-;-;-;-;1997;24336;26212;28069;27339;27534;28948;29404;30464;32121;31484;33414;34122;20155;375599
"42 Santa Catarina";-;-;-;-;-;-;-;1284;13109;14757;15459;15876;15791;16469;17368;18133;19538;19358;20538;21149;12319;221148
"43 Rio Grande do Sul";-;-;-;-;-;-;-;2116;31139;32765;33277;32897;33419;35458;36003;36549;38455;38084;39037;39761;23220;452180
"50 Mato Grosso do Sul";-;-;-;-;-;-;-;429;4469;5025;5691;5477;5679;5890;5684;6118;6464;6384;6519;6783;3791;74403
"51 Mato Grosso";-;-;-;-;-;-;-;399;4572;5145;5734;5750;5944;6135;6481;6729;6930;6931;7094;7131;4193;79168
"52 Goiás";-;-;-;-;-;-;-;472;7521;8548;9332;9462;9152;10000;10718;11480;11249;11291;11284;12426;8395;131330
"53 Distrito Federal";-;-;-;-;-;-;-;799;5232;5139;5149;5797;5597;5705;5739;5748;6657;6200;6315;6801;4867;75745
"Total";2;2;1;1;1;1;1;27521;362910;386957;410864;418757;424194;439569;450896;474426;492067;493515;505540;524844;345481;5757550
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
