 Procedimentos hospitalares do SUS - por local de internação - Brasil
Valor total por Unidade da Federação e Ano/mês atendimento
Procedimento: 0303010223 TRATAMENTO DE INFECÇÃO PELO CORONAVIRUS – COVID 19
Período:Jan/2008-Ago/2020
"Unidade da Federação";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"Total"
"11 Rondônia";-;-;647759,27;2518821,56;3735257,86;2332883,09;1579359,30;10814081,08
"12 Acre";-;-;175102,69;539001,49;737871,42;279290,41;-;1731266,01
"13 Amazonas";-;1500,00;6821243,70;9314236,70;5893207,78;2786914,02;458421,51;25275523,71
"14 Roraima";-;-;188766,65;1072862,84;1260964,75;802264,12;153343,44;3478201,80
"15 Pará";-;15324,44;4736351,24;18092045,41;11570100,51;5426818,18;1128345,16;40968984,94
"16 Amapá";-;-;232518,45;1227912,77;1143877,13;486684,89;235346,57;3326339,81
"17 Tocantins";-;-;43295,44;1194917,42;1423549,47;1694795,31;1056126,63;5412684,27
"21 Maranhão";-;-;3895488,15;14248326,44;11499466,95;6135137,37;2073918,82;37852337,73
"22 Piauí";-;-;552856,44;2967486,64;5585242,48;9245991,86;2745741,91;21097319,33
"23 Ceará";-;-;9284607,46;24698961,54;13990308,47;6755685,43;2127243,95;56856806,85
"24 Rio Grande do Norte";-;6182,22;615614,01;4033274,27;5059377,19;4286359,04;1225257,79;15226064,52
"25 Paraíba";-;-;543422,13;5792525,13;7441230,91;3982036,23;1085675,18;18844889,58
"26 Pernambuco";-;69712,31;9707084,81;24536087,56;23129225,61;17035200,10;6019183,35;80496493,74
"27 Alagoas";-;-;1363382,49;5409518,11;4490149,39;2226313,49;419265,43;13908628,91
"28 Sergipe";-;-;208456,70;1898558,21;2117477,13;1059788,66;485040,63;5769321,33
"29 Bahia";-;8706,65;3239204,04;10519085,40;21285901,70;20082452,41;5939895,98;61075246,18
"31 Minas Gerais";-;91727,90;1191178,12;5464457,86;20448248,77;30403444,60;12067139,98;69666197,23
"32 Espírito Santo";-;130386,63;2132607,42;8154115,83;10346863,16;10471199,18;3195115,88;34430288,10
"33 Rio de Janeiro";-;99180,35;10430093,23;29134308,58;22059703,12;16994975,14;5784262,29;84502522,71
"35 São Paulo";29826,31;629426,96;42800388,61;81833780,63;86355688,91;81873430,58;29069303,95;322591845,95
"41 Paraná";-;78827,80;1726139,76;5720222,44;11594049,41;16742401,18;6773576,63;42635217,22
"42 Santa Catarina";-;211330,87;2115488,76;5277118,07;8880203,43;13342081,67;2555587,96;32381810,76
"43 Rio Grande do Sul";-;48062,15;3046814,38;7555975,32;14397025,65;18174212,06;5150942,45;48373032,01
"50 Mato Grosso do Sul";-;-;236868,82;506890,75;2161861,11;1325090,75;330223,12;4560934,55
"51 Mato Grosso";-;3272,82;126293,47;1759979,26;5552222,68;4825225,73;1208009,29;13475003,25
"52 Goiás";-;7506,27;350894,06;1452128,12;6172166,60;8489585,02;5455819,59;21928099,66
"53 Distrito Federal";-;24365,61;588962,72;4089231,85;8012110,66;7992126,62;3540424,96;24247222,42
"Total";29826,31;1425512,98;107000883,02;279011830,20;316343352,25;295252387,14;101862571,75;1100926363,65
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS)
 Notas:
 
 Dados referentes aos últimos seis meses, sujeitos a  atualização.
 A partir do processamento de junho de 2012, houve mudança na classificação da natureza e esfera dos estabelecimentos. Com isso, temos que:
      
      Até maio de 2012 estas informações estão disponíveis como "Natureza" e "Esfera Administrativa".
      De junho de 2012 a outubro de 2015, estão disponíveis tanto como "Natureza" e "Esfera Administrativa", como "Natureza Jurídica" e "Esfera Jurídica".
      A partir de novembro de 2015, estão disponíveis como "Natureza Jurídica" e "Esfera Jurídica".
      
 
