Município;Código;Gentílico;Prefeito_2017;Area_Territorial_KM2_2019;Populacao_Estimada_Pessoas_2020;Densidade_Demográfica_Hab_KM2_2010;Escolarização_6_a_14_anos_%_2010;IDHM_2010;Mortalidade_infantil_óbitos_por_mil_nascidos_vivos_2017;DespesasEmpenhadas_REAIS_X_1000_2017;PIB_per_capita_REAIS_2017
Adamantina;3500105;adamantinense;MÁRCIO CARDIM;411.987;35111;82.15;97.6;0.79;11.63;13.708.366.993;30010.56
Adolfo;3500204;adolfino;IZAEL ANTONIO FERNANDES;211.055;3554;16.85;98.6;0.73;19.23;2.010.387.713;27634.98
Aguaí;3500303;aguaiano;JOSÉ ALEXANDRE PEREIRA DE ARAÚJO;474.554;36648;67.72;95.8;0.715;16.06;7.216.873.408;26549.19
Águas da Prata;3500402;pratense;CARLOS HENRIQUE FORTES DEZENA;142.673;8221;53.05;98.8;0.781;25.32;2.436.340.149;18974.98
Águas de Lindóia;3500501;lindoiense;GILBERTO ABDOU HELOU;60.126;18808;287.16;96.2;0.745;8.37;7.520.147.793;25554.26
Águas de Santa Bárbara;3500550;santa-barbarense;AROLDO JOSÉ CAETANO;404.463;6109;13.83;98.2;0.757;23.26;2.847.194.804;24673.66
Águas de São Pedro;3500600;água-pedrense;PAULO SERGIO BARBOZA DE LIMA;3.612;3521;488.89;98.4;0.854;38.46;2.270.999.284;38294.25
Agudos;3500709;agudense;ALTAIR FRANCISCO SILVA;966.708;37401;35.73;97.9;0.745;12.13;14.341.768.289;55938.77
Alambari;3500758;alambariense;HUDSON JOSE GOMES;159.6;6129;30.66;99.3;0.712;25;2.183.901.214;17477.7
Alfredo Marcondes;3500808;marcondense;EDMILSON JOSE CORREIA;118.915;4184;32.86;98.6;0.741;20.83;1.511.197.897;20072.53
Altair;3500907;altairense;ANTONIO PADRON NETO;313.007;4186;12.16;96;0.687;20.41;1.941.076.045;51127.03
Altinópolis;3501004;altinopolense;JOSÉ ROBERTO FERRACIN MARQUES;928.956;16203;16.8;99.3;0.73;16.39;5.543.605.472;32489.01
Alto Alegre;3501103;alto-alegrense;HELENA BERTO TOMAZINI SORROCHE;318.574;4088;12.86;95.1;0.7;33.33;1.823.622.271;26590.67
Alumínio;3501152;aluminense;ANTONIO PIASSENTINI;83.66;18767;201.28;98.8;0.766;20.33;7.257.258.372;101155.71
Álvares Florence;3501202;alvares florencense;CALIMÉRIO LUIZ CORREA SALES;362.411;3647;10.74;99.3;0.728;26.32;1.824.110.731;27907.99
Álvares Machado;3501301;machadense;JOSÉ CARLOS CABRERA PARRA;347.647;24998;67.69;98.3;0.758;18.13;602.969.844;20531.41
Álvaro de Carvalho;3501400;carvalhense;CÍCERO MARTINS DOS SANTOS;153.662;5274;30.36;99.2;0.688;17.54;1.644.113.972;9666.54
Alvinlândia;3501509;alvinlandense;ABIGAIL CATELI DIAS;84.879;3237;35.38;99.3;0.722;21.74;1.294.054.398;19966.95
Americana;3501608;americanense;OMAR NAJAR;133.912;242018;1572.75;98;0.811;7.47;7.097.438.111;44396.3
Américo Brasiliense;3501707;américo-brasiliense;DIRCEU BRAS PANO;122.785;41032;280.91;98.6;0.751;16;10.079.916.438;24197.1
Américo de Campos;3501806;americampense;CARLOS ROBERTO ACHILLES;252.876;5981;22.54;98.2;0.745;19.61;2.140.683.023;17546
Amparo;3501905;amparense;LUIZ OSCAR VITALE JACOB;445.323;72677;147.75;95.7;0.785;5.65;24.072.795.422;61227.8
Analândia;3502002;analandense;JAIRO APARECIDO MASCIA;325.953;5056;13.18;99.7;0.754;21.28;309.675.513;32880.3
Andradina;3502101;andradinense;TAMIKO INOUE;964.226;57202;57.39;98.2;0.779;13.35;14.735.321.707;34385.26
Angatuba;3502200;angatubense;LUIZ ANTONIO MACHADO;1.027.288;25479;21.61;98.3;0.719;6.31;6.630.615.913;39106.98
Anhembi;3502309;anhembiense;MIGUEL VIEIRA MACHADO NETO;736.557;6819;7.67;97.2;0.721;14.08;2.990.798.478;23820.1
Anhumas;3502408;anhumense;GENILDO RAMINELI;320.84;4144;11.66;98.3;0.741;33.33;1.761.483.672;20587.87
Aparecida;3502507;aparecidense;ERNALDO CESAR MARCONDES;121.076;36185;289.13;98.4;0.755;6.25;9.827.114.272;28905.59
Aparecida d'Oeste;3502606;aparecidense;MAERCIO DIAS DE MENEZES;179.004;4158;24.86;97.7;0.721;21.74;1.774.429.241;28982.31
Apiaí;3502705;apiaiense;LUCIANO POLACZEK NETO;974.322;24226;25.85;97.3;0.71;16.67;650.666.608;26126.82
Araçariguama;3502754;araçariguamense;LILIANA MEDEIROS DE ALMEIDA AYMAR BECHAR;145.204;22860;117.63;98.2;0.704;12.01;9.890.372.356;135194.59
Araçatuba;3502804;araçatubense;DILADOR BORGES DAMASCENO;1.167.126;198129;155.54;97.6;0.788;11.02;48.979.965.507;35769.43
Araçoiaba da Serra;3502903;araçoiabano;DIRLEI SALAS ORTEGA;255.327;34776;106.88;99.4;0.776;7.23;8.257.797.635;20558.05
Aramina;3503000;araminense;DALVA APARECIDA PIERAZO RODRIGUES;202.829;5655;25.39;98.7;0.74;14.49;218.444.276;23120.43
Arandu;3503109;aranduense;LUIZ CARLOS DA COSTA;285.908;6365;21.42;98.4;0.685;30.93;3.041.449.906;18718.3
Arapeí;3503158;arapeiense;EDSON ANDRE DE SOUZA;156.903;2460;15.89;98.7;0.68;71.43;1.264.783.575;11594.42
Araraquara;3503208;araraquarense;EDSON ANTONIO EDINHO DA SILVA;1.003.625;238339;207.9;98.7;0.815;10.46;79.761.315.061;39039.34
Araras;3503307;ararense;RUBENS FRANCO JUNIOR;644.831;135506;184.3;97.5;0.781;12.11;47.276.251.826;40249.39
Arco-Íris;3503356;arcoirense;ANA MARIA ZONER LEAL SERAFIM;264.904;1773;7.27;99.1;0.722;33.33;1.239.160.573;25729.5
Arealva;3503406;arealvense;ELSON BANUTH BARRETO;506.226;8613;15.53;99.6;0.744;21.05;2.370.469.254;25252.59
Areias;3503505;areiense;PAULO HENRIQUE DE SOUZA COUTINHO;305.227;3896;12.11;96.8;0.697;21.28;1.591.897.697;11088.39
Areiópolis;3503604;areiopolitano;ANTONIO MARCOS DOS SANTOS;85.907;11158;123.35;97.3;0.695;22.9;2.765.950.588;12135.07
Ariranha;3503703;ariranhense;JOAMIR ROBERTO BARBOZA;132.624;9761;64.19;99.6;0.733;25;3.979.184.863;76260.53
Artur Nogueira;3503802;nogueirense;IVAN CLEBER VICENSOTTI;178.026;55340;248.15;98.3;0.749;7.36;141.937.105;20795.4
Arujá;3503901;arujaense;JOSE LUIZ MONTEIRO;96.167;91157;779.33;98.2;0.784;16.32;24.738.693.664;61458.72
Aspásia;3503950;aspasiense;JOSUÉ EDUARDO DE ASSUNÇÃO;69.373;1818;26.09;97.1;0.735;-;1.347.252.382;18013.72
Assis;3504008;assisense;JOSÉ APARECIDO FERNANDES;460.609;105087;206.7;98.9;0.805;7.69;28.856.658.779;32100.85
Atibaia;3504107;atibaiano;SAULO PEDROSO DE SOUZA;478.521;144088;264.57;97.3;0.765;11.07;46.527.938.024;44119.9
Auriflama;3504206;auriflamense;OTAVIO HENRIQUE ORTUNHO WEDEKIN;434.498;15253;32.72;98.8;0.773;5.85;3.907.089.907;19494.28
Avaí;3504305;avaiense;ANDRÉ LUIS DA SILVEIRA ANTONIO;540.689;5436;9.18;99.4;0.714;14.08;18.277.667;49447.56
