"Local", "undefined"
"Rondônia", 0.690
"Pará", 0.646
"Amazonas", 0.674
"Roraima", 0.707
"Tocantins", 0.699
"Acre", 0.663
"Amapá", 0.708
"Piauí", 0.646
"Maranhão", 0.639
"Ceará", 0.682
"Pernambuco", 0.673
"Alagoas", 0.631
"Sergipe", 0.665
"Paraíba", 0.658
"Bahia", 0.660
"Minas Gerais", 0.731
"Espírito Santo", 0.740
"Rio Grande do Norte", 0.684
"São Paulo", 0.783
"Santa Catarina", 0.774
"Rio de Janeiro", 0.761
"Paraná", 0.749
"Rio Grande do Sul", 0.746
"Mato Grosso do Sul", 0.729
"Mato Grosso", 0.725
"Goiás", 0.735
"Distrito Federal", 0.824
